pays,nombre de cas,nombre de décès,région,population,latitude,longitude
Costa Rica,1238883,9428,North America,5212173,9.9333,-84.0833
Maldives,186694,316,Asia,521021,4.1750,73.5083
Kazakhstan,1411831,13848,Asia,19606633,51.1333,71.4333
Dominica,16038,74,North America,73040,15.3000,-61.3833
Laos,218908,758,Asia,7633779,17.9667,102.6000
Czech Republic (Czechia),4753347,43438,Europe,10495295,50.0833,14.4167
Singapore,2945715,1933,Asia,6014723,1.3000,103.8000
Greece,6101379,37869,Europe,10341277,37.9794,23.7161
Liberia,8090,295,Africa,5418377,6.3106,-10.8047
Mozambique,233731,2250,Africa,33897354,-25.9153,32.5764
Angola,106720,1937,Africa,36684202,-8.8383,13.2344
Papua New Guinea,46864,670,Australia/Oceania,10329931,-9.4789,147.1494
Brazil,38230814,708739,South America,216422446,-15.7744,-48.0773
Yemen,11945,2159,Asia,34449825,15.3500,44.2000
Nicaragua,18491,225,North America,7046310,12.1500,-86.2667
Chad,7701,194,Africa,18278568,12.1100,15.0500
Ghana,171889,1462,Africa,34121985,5.6037,-0.1870
Gabon,49051,307,Africa,2436566,0.3901,9.4544
Tuvalu,2943,1,Australia/Oceania,11396,-8.5167,179.2167
Bosnia and Herzegovina,403477,16377,Europe,3210847,43.8667,18.4167
Nepal,1003450,12031,Asia,30896590,27.7167,85.3667
Nigeria,267173,3155,Africa,223804632,9.0556,7.4914
Kyrgyzstan,206897,2991,Asia,6735347,42.8667,74.5667
Comoros,9109,161,Africa,852075,-11.7036,43.2536
Malta,121144,873,Europe,535064,35.8978,14.5125
Gambia,12626,372,Africa,2773168,13.4531,-16.5775
United Arab Emirates,1067030,2349,Asia,9516871,24.4781,54.3686
Grenada,19693,238,North America,126183,12.0444,-61.7417
Philippines,4140383,66864,Asia,117337368,14.5958,120.9772
Ecuador,1070121,36043,South America,18190484,-0.2186,-78.5097
Venezuela,552695,5856,South America,28838499,10.5000,-66.9333
Slovenia,1355644,7100,Europe,2119675,46.0500,14.5167
Eritrea,10189,103,Africa,3748901,15.3333,38.9167
Spain,13914811,121760,Europe,47519628,40.4189,-3.6919
Zimbabwe,266048,5731,Africa,16665409,-17.8292,31.0522
Saint Lucia,30209,410,North America,180251,14.0167,-60.9833
Antigua and Barbuda,9106,146,North America,94298,17.1211,-61.8447
Germany,38791727,181044,Europe,83294633,52.5167,13.3833
Guyana,73681,1299,South America,813834,6.7833,-58.1667
Ethiopia,501117,7574,Africa,126527060,9.0272,38.7369
Syria,57743,3165,Asia,23227014,33.5131,36.2919
Uganda,171983,3632,Africa,48582334,0.3136,32.5811
Bahrain,729549,1574,Asia,1485509,26.2167,50.5831
Guinea-Bissau,9614,177,Africa,2150842,11.8592,-15.5956
Cambodia,139054,3056,Asia,16944826,11.5696,104.9210
Lithuania,1390690,9868,Europe,2718352,54.6833,25.2833
New Zealand,2554013,5337,Australia/Oceania,5228100,-41.2889,174.7772
Tonga,16949,13,Australia/Oceania,107773,-21.1347,-175.2083
Australia,11769421,23910,Australia/Oceania,26439111,-35.2931,149.1269
Barbados,110298,648,North America,281995,13.0975,-59.6167
Dominican Republic,670627,4384,North America,11332972,18.4764,-69.8933
Sudan,63993,5046,Africa,48109006,15.6031,32.5265
North Macedonia,350197,9963,Europe,2085679,41.9833,21.4333
Cyprus,660854,1364,Asia,1260138,35.1725,33.3650
Egypt,516023,24613,Africa,112716598,30.0561,31.2394
Congo,25375,386,Africa,6106869,-4.2667,15.2833
Iraq,2465545,25375,Asia,45504560,33.3500,44.4167
Bangladesh,2046256,29477,Asia,172954319,23.7161,90.3961
Iran,7625463,146757,Asia,89172767,35.7000,51.4167
Malaysia,5244578,37315,Asia,34308525,3.1478,101.6953
Austria,6081287,22542,Europe,8958960,48.2083,16.3731
Equatorial Guinea,17229,183,Africa,1714671,3.7521,8.7737
Montenegro,296140,2844,Europe,626485,42.4397,19.2661
Estonia,626689,3001,Europe,1322765,59.4372,24.7450
Sierra Leone,7779,126,Africa,8791092,8.4833,-13.2331
Burundi,54721,38,Africa,13238559,-3.3825,29.3611
Portugal,5637114,27853,Europe,10247605,38.7452,-9.1604
Romania,3514894,68754,Europe,19892812,44.4000,26.0833
Mali,33164,743,Africa,23293698,12.6458,-7.9922
Somalia,27334,1361,Africa,18143378,2.0408,45.3425
Saint Kitts & Nevis,6607,48,North America,47755,17.2983,-62.7342
Central African Republic,15440,113,Africa,5742315,4.3732,18.5628
China,503302,5272,Asia,1425671352,39.9050,116.3914
Morocco,1278269,16300,Africa,37840044,34.0253,-6.8361
Netherlands,8623210,22992,Europe,17618299,52.0800,4.2700
Honduras,474590,11165,North America,10593798,14.0942,-87.2067
Peru,4536733,222161,South America,34352719,-12.0500,-77.0333
France,40138560,167642,Europe,64756584,48.8566,2.3522
Burkina Faso,22109,400,Africa,23251485,12.3572,-1.5353
Panama,1049089,8666,North America,4468087,9.0000,-79.5000
Hungary,2223831,48917,Europe,10156239,47.4983,19.0408
St. Vincent & Grenadines,9674,124,North America,103698,13.1667,-61.2333
Thailand,4763039,34521,Asia,71801279,13.7500,100.5167
United Kingdom,24812582,232112,Europe,67736802,51.5072,-0.1275
Côte d'Ivoire,88384,835,Africa,28873034,5.3364,-4.0267
Chile,5335745,64497,South America,19629590,-33.4500,-70.6667
Belarus,994037,7118,Europe,9498238,53.9022,27.5618
Uzbekistan,253662,1637,Asia,35163944,41.3000,69.2667
Benin,28036,163,Africa,13712828,6.4000,2.5200
Luxembourg,388257,1232,Europe,654768,49.6106,6.1328
Guatemala,1281585,20272,North America,18092026,14.6099,-90.5252
Micronesia,26547,65,Australia/Oceania,544321,6.9178,158.1850
Niger,9931,312,Africa,27202843,13.5086,2.1111
Mauritius,43025,1051,Africa,1300557,-20.1667,57.5000
North Korea,4772813,74,Asia,26160821,39.0300,125.7300
Kuwait,666586,2570,Asia,4310108,29.3750,47.9800
Poland,6645514,120384,Europe,41026067,52.2167,21.0333
Suriname,82588,1408,South America,623236,5.8667,-55.1667
Belize,71373,688,North America,410825,17.2500,-88.7675
Ireland,1730193,9468,Europe,5056935,53.3425,-6.2658
Denmark,3183756,8814,Europe,5910913,55.6786,12.5635
Qatar,514524,690,Asia,2716391,25.3000,51.5333
Pakistan,1581936,30664,Asia,240485658,33.6989,73.0369
Sri Lanka,672729,16893,Asia,21893579,6.9167,79.8333
Slovakia,1873332,21186,Europe,5795199,48.1447,17.1128
Namibia,172239,4103,Africa,2604172,-22.5700,17.0836
Palau,6270,10,Australia/Oceania,18058,7.5006,134.6242
Indonesia,6823536,161954,Asia,277534122,-6.2146,106.8451
Rwanda,133518,1468,Africa,14094683,-1.9536,30.0606
Bhutan,62697,21,Asia,787424,27.4833,89.6333
Turkey,17232066,102174,Asia,85816199,39.9300,32.8500
Azerbaijan,834305,10379,Asia,10412651,40.3667,49.8352
Bahamas,38084,844,North America,412623,25.0667,-77.3333
South Korea,34571873,35934,Asia,51784059,37.5833,127.0000
Madagascar,68471,1426,Africa,30325732,-18.9386,47.5214
Seychelles,51220,172,Africa,107660,-4.6236,55.4544
Monaco,17181,67,Europe,36297,43.7396,7.4069
Mauritania,63777,997,Africa,4862989,18.0783,-15.9744
San Marino,26185,128,Europe,33642,43.9320,12.4484
Andorra,48015,165,Europe,80088,42.5000,1.5000
Oman,399449,4628,Asia,4644384,23.6139,58.5922
Italy,26692251,195494,Europe,58870762,41.8931,12.4828
Malawi,89168,2686,Africa,20931751,-13.9833,33.7833
Cabo Verde,64477,417,Africa,598682,14.9177,-23.5092
Mexico,7702731,334947,North America,128455567,19.4333,-99.1333
Vanuatu,12019,14,Australia/Oceania,334506,-17.7500,168.3000
Uruguay,1041111,7664,South America,3423108,-34.8667,-56.1667
Haiti,34509,860,North America,11724763,18.5425,-72.3386
Jamaica,156584,3664,North America,2825544,17.9714,-76.7931
Marshall Islands,16138,17,Australia/Oceania,41996,7.1167,171.3667
Japan,33804284,74707,Asia,123294513,35.6897,139.6922
Vietnam,11624114,43206,Asia,98858950,21.0245,105.8412
Algeria,272010,6881,Africa,45606480,36.7764,3.0586
Timor-Leste,23460,138,Asia,1360596,-8.5586,125.5736
Colombia,6388815,143117,South America,52085168,4.6126,-74.0705
Sweden,2750592,26916,Europe,10612086,59.3294,18.0686
South Africa,4076463,102595,Africa,60414495,-25.7464,28.1881
Argentina,10080046,130685,South America,45773884,-34.5997,-58.3819
Armenia,451353,8776,Asia,2777970,40.1814,44.5144
Liechtenstein,21567,94,Europe,39584,47.1415,9.5215
Lesotho,36135,723,Africa,2330318,-29.3100,27.4800
Togo,39553,290,Africa,9053799,6.1319,1.2228
Samoa,17006,31,Australia/Oceania,225681,-13.8333,-171.8333
Zambia,349304,4069,Africa,20569737,-15.4167,28.2833
Jordan,1746997,14122,Asia,11337052,31.9500,35.9333
Afghanistan,230449,7973,Asia,42239854,34.5328,69.1658
Guinea,38572,468,Africa,14190612,9.5092,-13.7122
Latvia,981771,6609,Europe,1830211,56.9475,24.1069
Solomon Islands,25954,199,Australia/Oceania,740424,-9.4333,159.9500
Tunisia,1153361,29423,Africa,12458223,36.8008,10.1800
Finland,1513517,11140,Europe,5545475,60.1756,24.9342
Taiwan,10241523,19005,Asia,23923276,25.0478,121.5319
Sao Tome & Principe,6746,80,Africa,231856,0.3333,6.7333
Israel,4841772,12707,Asia,9174520,31.7833,35.2167
Bulgaria,1336754,38706,Europe,6687717,42.6975,23.3241
Moldova,629501,12167,Europe,3435931,47.0056,28.8575
Fiji,69117,885,Australia/Oceania,936375,-18.1333,178.4333
Lebanon,1243838,10952,Asia,5353930,33.8869,35.5131
Kenya,344130,5689,Africa,55100586,-1.2864,36.8172
Djibouti,15690,189,Africa,1136455,11.5950,43.1481
Cameroon,125248,1974,Africa,28647293,3.8578,11.5181
Norway,1508497,5732,Europe,5474360,59.9111,10.7528
Paraguay,823491,20069,South America,6861524,-25.3000,-57.6333
Georgia,1855289,17132,Asia,3728282,41.7225,44.7925
Ukraine,5557995,112418,Europe,36744634,50.4500,30.5236
El Salvador,201835,4230,North America,6364943,13.6989,-89.1914
Senegal,89050,1971,Africa,17763163,14.7319,-17.4572
Albania,334726,3602,Europe,2832439,41.3300,19.8200
Bolivia,1211716,22407,South America,12388571,-16.4942,-68.1475
Iceland,209650,229,Europe,375318,64.1475,-21.9350
Serbia,2611359,18057,Europe,7149077,44.8167,20.4667
Russia,23798457,401543,Europe,144444359,55.7558,37.6178
Croatia,1285460,18518,Europe,4008617,45.8000,15.9500
DR Congo,99338,1468,Africa,102262808,-4.3317,15.3139
United States,110495095,1191861,North America,339996563,38.9047,-77.0163
India,45021758,533414,Asia,1428627663,28.7000,77.2000
Mongolia,1011420,2284,Asia,3447157,47.9203,106.9172
Tajikistan,17786,125,Asia,10143543,38.5731,68.7864
Libya,507274,6437,Africa,6888388,32.8752,13.1875
Switzerland,4441768,14452,Europe,8796669,46.9480,7.4474
Kiribati,5085,24,Australia/Oceania,133515,1.3382,173.0176
Saudi Arabia,841469,9646,Asia,36947025,24.6500,46.7100
Cuba,1115186,8530,North America,11194449,23.1367,-82.3589
Tanzania,43223,846,Africa,67438106,-6.8000,39.2833
Trinidad and Tobago,191496,4390,North America,1534937,10.6667,-61.5167
South Sudan,18819,147,Africa,11088796,4.8500,31.6000
Belgium,4851453,34376,Europe,11686140,50.8467,4.3517
Brunei,330776,225,Asia,452524,4.9167,114.9167
Botswana,330417,2801,Africa,2675352,-24.6569,25.9086
